StimuliName,user,FixationDuration,count
02_Berlin_S2.jpg,p39,19634,50
02_Berlin_S2.jpg,p6,12491,34
02_Berlin_S2.jpg,p7,6210,19
02b_Berlin_S1.jpg,p10,8061,30
02b_Berlin_S1.jpg,p11,8494,26
02b_Berlin_S1.jpg,p14,7058,26
02b_Berlin_S1.jpg,p15,26462,87
02b_Berlin_S1.jpg,p18,12935,51
02b_Berlin_S1.jpg,p19,9891,29
02b_Berlin_S1.jpg,p2,6444,20
02b_Berlin_S1.jpg,p22,8924,22
02b_Berlin_S1.jpg,p23,14837,56
02b_Berlin_S1.jpg,p26,16118,43
02b_Berlin_S1.jpg,p27,12491,40
02b_Berlin_S1.jpg,p3,10060,33
02b_Berlin_S1.jpg,p30,5962,20
02b_Berlin_S1.jpg,p31,4131,16
02b_Berlin_S1.jpg,p34,10324,33
02b_Berlin_S1.jpg,p35,23596,77
02b_Berlin_S1.jpg,p38,13320,49
02b_Berlin_S1.jpg,p39,11322,30
02b_Berlin_S1.jpg,p6,5414,19
02b_Berlin_S1.jpg,p7,14337,30
02b_Berlin_S2.jpg,p1,8027,16
02b_Berlin_S2.jpg,p12,10324,33
02b_Berlin_S2.jpg,p13,8640,25
02b_Berlin_S2.jpg,p16,15086,49
02b_Berlin_S2.jpg,p17,29771,86
02b_Berlin_S2.jpg,p20,16734,64
02b_Berlin_S2.jpg,p21,15489,44
02b_Berlin_S2.jpg,p24,12675,40
02b_Berlin_S2.jpg,p25,8793,33
02b_Berlin_S2.jpg,p28,13272,38
02b_Berlin_S2.jpg,p29,16367,51
02b_Berlin_S2.jpg,p32,14854,39
02b_Berlin_S2.jpg,p33,5363,30
02b_Berlin_S2.jpg,p36,10907,25
02b_Berlin_S2.jpg,p37,12135,40
02b_Berlin_S2.jpg,p4,21861,66
02b_Berlin_S2.jpg,p40,14884,35
02b_Berlin_S2.jpg,p5,22701,61
02b_Berlin_S2.jpg,p8,9126,26
02b_Berlin_S2.jpg,p9,15223,39
03_Bordeaux_S1.jpg,p1,1681,5
03_Bordeaux_S1.jpg,p12,7474,20
03_Bordeaux_S1.jpg,p13,7992,29
03_Bordeaux_S1.jpg,p16,17654,48
03_Bordeaux_S1.jpg,p17,12692,41
03_Bordeaux_S1.jpg,p20,8559,33
03_Bordeaux_S1.jpg,p21,13787,25
03_Bordeaux_S1.jpg,p24,17368,57
03_Bordeaux_S1.jpg,p25,5311,16
03_Bordeaux_S1.jpg,p28,9059,20
03_Bordeaux_S1.jpg,p29,11790,45
03_Bordeaux_S1.jpg,p32,6061,13
03_Bordeaux_S1.jpg,p33,3350,19
03_Bordeaux_S1.jpg,p36,6278,18
03_Bordeaux_S1.jpg,p37,8776,29
03_Bordeaux_S1.jpg,p4,7959,31
03_Bordeaux_S1.jpg,p40,5728,18
03_Bordeaux_S1.jpg,p5,10291,37
03_Bordeaux_S1.jpg,p8,6762,18
03_Bordeaux_S1.jpg,p9,4980,14
03_Bordeaux_S2.jpg,p10,26878,71
03_Bordeaux_S2.jpg,p11,15569,37
