,city,description,complexity,saccade_value,duration
0,Antwerpen,color,100,4.650427364820629e-05,292.64285714285717
1,Antwerpen,color,100,0.0001985312821509075,278.9
2,Antwerpen,color,100,0.00014774182684938018,273.6521739130435
3,Antwerpen,color,100,0.00019824445018722662,223.0
4,Antwerpen,color,100,6.924164351262852e-05,294.36
5,Antwerpen,color,100,0.0002241674971392289,280.2083333333333
6,Antwerpen,color,100,4.217931977875831e-05,368.6551724137931
7,Antwerpen,color,100,0.00033551744821248424,289.73333333333335
8,Antwerpen,color,100,9.070138992863979e-05,282.40909090909093
9,Antwerpen,color,100,0.00012680568037525452,244.37209302325581
10,Antwerpen,color,100,0.00011685511093426098,279.5151515151515
11,Antwerpen,color,100,0.00019049396065612287,265.85714285714283
12,Antwerpen,color,100,6.730986783670905e-05,258.0
13,Antwerpen,color,100,0.00011450805035397572,255.23809523809524
14,Antwerpen,color,100,8.642789859515711e-05,307.3333333333333
15,Antwerpen,color,100,0.00010257633891639704,255.56521739130434
16,Antwerpen,color,100,0.00020935427120758376,232.23809523809524
17,Antwerpen,color,100,0.0003269354227351414,233.08695652173913
18,Antwerpen,color,100,0.00017381522102470414,259.52941176470586
19,Antwerpen,color,100,9.410833372550838e-05,270.88461538461536
20,Berlin,color,208,3.222377101720699e-05,284.8888888888889
21,Berlin,color,208,3.6435354967320795e-05,329.3703703703704
22,Berlin,color,208,0.0001372465032527961,236.08823529411765
23,Berlin,color,208,6.827976269250429e-05,296.5
24,Berlin,color,208,7.840222561108767e-05,315.9761904761905
25,Berlin,color,208,0.0003070594957407997,236.71052631578948
26,Berlin,color,208,7.15946536174155e-05,316.40909090909093
27,Berlin,color,208,9.49651859907735e-05,337.36842105263156
28,Berlin,color,208,8.50640702304622e-05,336.1923076923077
29,Berlin,color,208,6.103239427110834e-05,300.6
30,Berlin,color,208,0.00014161450249206613,260.76666666666665
31,Berlin,color,208,4.78002531287946e-05,335.55
32,Berlin,color,208,0.00017321089252471535,339.2105263157895
33,Berlin,color,208,8.395864469761167e-05,283.125
34,Berlin,color,208,7.11711418557616e-05,276.4642857142857
35,Berlin,color,208,9.751552288586163e-05,246.97142857142856
36,Berlin,color,208,0.0002608887243920719,213.5
37,Berlin,color,208,6.227896645428695e-05,236.22222222222223
38,Berlin,color,208,3.552848224947765e-05,314.9047619047619
39,Berlin,color,208,8.230415680969868e-05,307.57142857142856
40,Bordeaux,color,123,1.2414472307628063e-05,336.2
41,Bordeaux,color,123,9.777558360408317e-05,373.7
42,Bordeaux,color,123,5.7139941702793737e-05,275.58620689655174
43,Bordeaux,color,123,6.736733865077704e-05,367.7916666666667
44,Bordeaux,color,123,5.840851764894665e-05,309.5609756097561
45,Bordeaux,color,123,0.00013952565898337467,259.3636363636364
46,Bordeaux,color,123,6.815789650620623e-05,551.48
47,Bordeaux,color,123,9.904353485123605e-05,304.70175438596493
48,Bordeaux,color,123,4.001983519271377e-05,331.9375
49,Bordeaux,color,123,8.067442941119915e-05,452.95
50,Bordeaux,color,123,0.00016200929941198976,262.0
51,Bordeaux,color,123,2.2530743403207587e-05,466.2307692307692
52,Bordeaux,color,123,0.00013752679687167456,176.31578947368422
53,Bordeaux,color,123,3.139255330677004e-05,348.77777777777777
54,Bordeaux,color,123,6.072092686750221e-05,302.62068965517244
55,Bordeaux,color,123,7.193182712812223e-05,256.741935483871
56,Bordeaux,color,123,7.291993233882818e-05,318.22222222222223
57,Bordeaux,color,123,5.345975614664231e-05,278.13513513513516
58,Bordeaux,color,123,3.0076832827016658e-05,375.6666666666667
59,Bordeaux,color,123,4.4436136509409956e-05,355.7142857142857
60,Köln,color,134,7.538452124782509e-05,270.125
61,Köln,color,134,0.0001108559670025459,263.5492957746479
62,Köln,color,134,0.00016102621557619298,259.2307692307692
63,Köln,color,134,0.0001231468085257226,255.91836734693877
64,Köln,color,134,5.281565395704455e-05,368.6306306306306
65,Köln,color,134,0.00020119618791856515,257.0625
66,Köln,color,134,0.00015732742109576752,306.8775510204082
67,Köln,color,134,0.00017049428263098032,312.36
68,Köln,color,134,5.9056254945386984e-05,337.48214285714283
69,Köln,color,134,0.0001126718740314251,287.4146341463415
70,Köln,color,134,8.671971664868788e-05,271.4025974025974
71,Köln,color,134,9.218238571273393e-05,355.32142857142856
72,Köln,color,134,0.0002955592651741915,216.44230769230768
73,Köln,color,134,9.679344556467043e-05,309.64285714285717
74,Köln,color,134,0.00011066783984029533,278.219512195122
75,Köln,color,134,0.00013899426904267982,263.3873873873874
76,Köln,color,134,7.5074252862557e-05,310.0736842105263
77,Köln,color,134,3.576133227931677e-05,379.8863636363636
78,Köln,color,134,4.444000387942059e-05,423.7173913043478
79,Köln,color,134,9.97967081484586e-05,261.325
80,Frankfurt,color,113,8.282552110246251e-05,255.07142857142858
81,Frankfurt,color,113,6.343195969527462e-05,295.1159420289855
82,Frankfurt,color,113,4.083716419716852e-05,302.36842105263156
83,Frankfurt,color,113,0.0001619521035941612,302.1272727272727
84,Frankfurt,color,113,5.9894347970071424e-05,299.72131147540983
85,Frankfurt,color,113,0.00022451566154799214,246.21951219512195
86,Frankfurt,color,113,6.209463189054017e-05,344.2258064516129
87,Frankfurt,color,113,0.00012878945301012226,280.7142857142857
88,Frankfurt,color,113,5.8347530750361286e-05,346.0869565217391
89,Frankfurt,color,113,0.00011619719426852194,281.03076923076924
90,Frankfurt,color,113,0.0001246794788142959,248.3877551020408
91,Frankfurt,color,113,4.4520198550039996e-05,322.35483870967744
92,Frankfurt,color,113,0.0001750677606021563,235.86046511627907
